,datetime,close_DE40,close_FR40,close_NL25,close_IT40,close_SP35,close_UK100,close_EU50
0,2024-06-11 09:00:00,18502.9,7916.6,926.37,34490.5,11295.2,8233.6,5024.3
1,2024-06-11 10:00:00,18475.4,7905.1,924.99,34404.5,11289.5,8212.9,5016.3
2,2024-06-11 11:00:00,18367.9,7824.6,921.04,34156.5,11230.0,8167.6,4974.3
3,2024-06-11 12:00:00,18391.9,7824.9,921.99,34149.5,11217.5,8171.4,4976.3
4,2024-06-11 13:00:00,18340.9,7798.1,920.62,33976.5,11163.0,8156.2,4961.6
5,2024-06-11 14:00:00,18351.4,7796.1,920.49,33916.5,11152.0,8140.2,4963.1
6,2024-06-11 15:00:00,18350.9,7794.6,918.44,33864.5,11160.0,8141.2,4962.1
7,2024-06-11 16:00:00,18385.8,7794.4,921.64,33921.5,11200.1,8151.8,4969.9
8,2024-06-11 17:00:00,18347.0,7779.6,919.19,33861.5,11185.0,8139.1,4956.9
9,2024-06-12 09:00:00,18479.5,7821.6,924.97,34134.5,11235.7,8203.3,4990.8
10,2024-06-12 10:00:00,18446.0,7809.4,925.37,34049.5,11202.2,8211.1,4982.8
11,2024-06-12 11:00:00,18451.9,7810.6,924.59,34094.5,11178.7,8197.6,4984.8
12,2024-06-12 12:00:00,18461.9,7815.4,925.14,34169.5,11201.7,8199.1,4988.8
13,2024-06-12 13:00:00,18492.4,7832.6,925.69,34216.5,11221.5,8208.8,4998.8
14,2024-06-12 14:00:00,18581.9,7852.6,930.37,34316.5,11247.5,8227.1,5020.8
15,2024-06-12 15:00:00,18631.9,7866.6,932.99,34346.5,11242.0,8227.8,5033.8
16,2024-06-12 16:00:00,18621.8,7863.9,931.39,34341.5,11252.1,8213.5,5031.5
17,2024-06-12 17:00:00,18628.5,7864.9,932.32,34329.5,11240.3,8212.0,5033.5
18,2024-06-13 09:00:00,18530.8,7833.6,932.29,34132.5,11220.6,8194.8,5019.0
19,2024-06-13 10:00:00,18494.0,7804.6,930.12,33987.5,11166.6,8181.3,5001.2
20,2024-06-13 11:00:00,18437.0,7781.4,928.59,33957.5,11146.6,8179.6,4987.2
21,2024-06-13 12:00:00,18421.5,7760.1,928.64,33882.5,11138.6,8170.8,4981.2
22,2024-06-13 13:00:00,18429.1,7769.6,928.94,33937.5,11166.6,8184.5,4984.6
23,2024-06-13 14:00:00,18431.6,7771.9,928.69,33982.5,11158.6,8185.3,4983.6
24,2024-06-13 15:00:00,18349.1,7718.6,925.09,33752.5,11096.6,8158.8,4953.6
25,2024-06-13 16:00:00,18293.5,7717.4,923.59,33599.5,11054.9,8154.0,4940.0
26,2024-06-13 17:00:00,18254.0,7703.1,924.71,33592.5,11067.8,8157.5,4933.0
27,2024-06-14 09:00:00,18202.0,7613.6,924.94,33177.5,11019.4,8157.0,4901.9
28,2024-06-14 10:00:00,18147.5,7588.9,923.87,33022.5,11001.4,8148.0,4886.9
29,2024-06-14 11:00:00,18061.5,7531.6,920.29,32829.5,10945.9,8129.8,4856.9
30,2024-06-14 12:00:00,18016.0,7518.6,917.09,32654.5,10900.4,8123.3,4843.9
31,2024-06-14 13:00:00,18025.1,7528.1,919.44,32664.5,10944.5,8146.2,4848.7
32,2024-06-14 14:00:00,18038.1,7525.6,919.89,32664.5,10959.5,8158.7,4849.7
33,2024-06-14 15:00:00,18028.1,7506.6,920.57,32622.5,10947.5,8154.4,4846.7
34,2024-06-14 16:00:00,17989.8,7487.4,918.69,32557.5,10944.7,8147.1,4833.6
35,2024-06-14 17:00:00,18014.5,7499.4,918.27,32652.5,10991.6,8152.8,4838.6
36,2024-06-17 09:00:00,18072.7,7527.9,924.24,32882.5,11023.7,8157.9,4871.3
37,2024-06-17 10:00:00,18017.6,7512.6,920.64,32769.5,10956.7,8145.2,4854.3
