datetime,ret_DE40,ret_FR40,ret_NL25,ret_IT40,ret_SP35,ret_UK100,ret_EU50
2024-06-11 10:00:00,-0.14873590765237701,-0.14536999216508573,-0.1490796231510252,-0.24965540218671325,-0.050476651193296265,-0.2517254240182537,-0.15935306043250536
2024-06-11 11:00:00,-0.5835541607990744,-1.0235503894026863,-0.4279460277768191,-0.7234465122749815,-0.5284321450893614,-0.5530980798362807,-0.8407952961296409
2024-06-11 12:00:00,0.13057744280486638,0.003833988306792641,0.1030911145381857,-0.02049600335110677,-0.11137098823505022,0.046514475408683385,0.04019858153140897
2024-06-11 13:00:00,-0.27768116108980156,-0.34308425126859854,-0.14870214016520952,-0.507883544818577,-0.48703208354062466,-0.18618785848521466,-0.29583736445661757
2024-06-11 14:00:00,0.05723271796325459,-0.025650562529225176,-0.014121915607005103,-0.17674875353883449,-0.09858840144270974,-0.19636244987966228,0.030227614163066546
2024-06-11 15:00:00,-0.002724624887442389,-0.019242240625861034,-0.22295583292463597,-0.15343535858635468,0.07171029349968235,0.012283955940622005,-0.020150727509444664
2024-06-11 16:00:00,0.19000079211888968,-0.0025659118610771832,0.34781131537088766,0.16817635923217703,0.3586749879453083,0.13011724661544247,0.15706809511829628
2024-06-11 17:00:00,-0.2112554143979883,-0.1900604142181047,-0.2661844327401602,-0.17703558612276554,-0.13491118905250385,-0.15591529716299457,-0.26191738388490704
2024-06-12 09:00:00,0.7195936173871608,0.5384214222511187,0.6268457103920524,0.802992725784813,0.4522614050255465,0.7856903546621333,0.6815672211811603
2024-06-12 10:00:00,-0.18144647569269834,-0.15610008927561986,0.04323529797021245,-0.24932548407913788,-0.29860214094367926,0.09503850993153432,-0.160423552492871
2024-06-12 11:00:00,0.031980140063719915,0.015364916803599455,-0.08432615258932859,0.13207327583135528,-0.21000056866610897,-0.16454689336770817,0.04013002180745178
2024-06-12 12:00:00,0.054180280787273244,0.061436070023997924,0.05946814034574966,0.2197352343174392,0.20553706007980446,0.018296364563415327,0.0802117633445177
2024-06-12 13:00:00,0.1650687845552941,0.2198364893535886,0.059432796765737456,0.13745505629839666,0.17660285013836363,0.11823574168569478,0.2002483748171303
2024-06-12 14:00:00,0.48281517850106676,0.2550176069032644,0.5042951109581153,0.2918304202962661,0.23143007347581676,0.2226833646122483,0.43913999270848636
2024-06-12 15:00:00,0.2687176804688539,0.17812616038612925,0.2812126187737672,0.08738331243598495,-0.04891171533070362,0.008508103974142348,0.258588253018926
2024-06-12 16:00:00,-0.05422280335891873,-0.03432821622344981,-0.17163887113128395,-0.014558583766692947,0.08980133171581493,-0.17395222526087079,-0.04570156955147147
2024-06-12 17:00:00,0.03597286503599119,0.012715528220164765,0.09980094297844402,-0.034949251131181636,-0.10492433962195304,-0.018264284243035205,0.03974167960900152
2024-06-13 09:00:00,-0.5258453476132917,-0.3987647415480725,-0.003217831074883887,-0.5755033265940104,-0.17541599002296124,-0.20966923837803692,-0.2884856514544327
2024-06-13 10:00:00,-0.19878574424801201,-0.3708871000881469,-0.23303150025948877,-0.425719961818057,-0.48241946047563583,-0.16487445799858072,-0.35528270340890483
2024-06-13 11:00:00,-0.3086840067193128,-0.2977032867265365,-0.16463034530025392,-0.08830672440803032,-0.17926613265741342,-0.02078125293984872,-0.28032536077719455
2024-06-13 12:00:00,-0.08410543518422794,-0.274104987757962,0.0053843627350382995,-0.22110858064748073,-0.0717965317219467,-0.10764263687382887,-0.12038041660792217
2024-06-13 13:00:00,0.04124763291642497,0.1223462292898611,0.032300089644411265,0.1621940786120243,0.2510626643793652,0.16752983074880679,0.06823336073199512
2024-06-13 14:00:00,0.013564582353733552,0.029598172850636116,-0.026916016807365457,0.1325088533111725,-0.07166789406069556,0.009774096209318453,-0.020063802960502582
2024-06-13 15:00:00,-0.44860559128700495,-0.6881664290395947,-0.38839609074912357,-0.6791197578001733,-0.5571745964605219,-0.32427632260883116,-0.6037936469354898
2024-06-13 16:00:00,-0.3034721481054067,-0.015548069479377332,-0.16227798528428294,-0.4543302743209075,-0.3764986502814091,-0.058849494121553686,-0.2749253773385141
2024-06-13 17:00:00,-0.2161571400503585,-0.1854674504602944,0.12119246194713222,-0.020835813862733685,0.11662230615685941,0.04291450882769711,-0.14180089482299696
2024-06-14 09:00:00,-0.28527559395216423,-1.1686723465649747,0.024869570046823247,-1.2430892438160568,-0.43826358678522415,-0.006129516689525031,-0.6324437190561215
2024-06-14 10:00:00,-0.29986679783052933,-0.32494684077002034,-0.11575014408905726,-0.468278801338573,-0.1634818354369156,-0.11039559538839207,-0.3064729433782755
2024-06-14 11:00:00,-0.475020915861225,-0.7579150728160067,-0.3882531339027356,-0.5861645890943447,-0.5057580504515995,-0.22361753534336282,-0.6157781316450817
2024-06-14 12:00:00,-0.2522349060966462,-0.17275522229790427,-0.34832241946969866,-0.5344829778415431,-0.41654711131638816,-0.0799847456366457,-0.2680192928841449
2024-06-14 13:00:00,0.050497904855154,0.12627355183945524,0.25591754913739945,0.030618962562578806,0.40375611615954266,0.2815085297394047,0.09904464008404941
2024-06-14 14:00:00,0.07209565741860957,-0.03321442599472137,0.04893086167008636,0.0,0.13696130701972106,0.15332817065924575,0.020621958334232554
2024-06-14 15:00:00,-0.05545358399974939,-0.25279081063323755,0.07389457319826441,-0.12866269178835466,-0.10955403478531087,-0.05271836866799726,-0.06187863734425657
2024-06-14 16:00:00,-0.21267211267576863,-0.2561025809545763,-0.20443011371270436,-0.19944774945436275,-0.02557988703982879,-0.08956231620364392,-0.2706529342434779
