datetime,DE40,FR40,NL25,IT40,SP35,UK100,EU50
2024-06-11 10:00:00,-0.148735907652377,-0.1453699921650857,-0.1490796231510252,-0.2496554021867132,-0.0504766511932962,-0.2517254240182537,-0.1593530604325053
2024-06-11 11:00:00,-0.5835541607990744,-1.0235503894026865,-0.4279460277768191,-0.7234465122749815,-0.5284321450893614,-0.5530980798362807,-0.8407952961296409
2024-06-11 12:00:00,0.1305774428048663,0.0038339883067926,0.1030911145381857,-0.0204960033511067,-0.1113709882350502,0.0465144754086833,0.0401985815314089
2024-06-11 13:00:00,-0.2776811610898015,-0.3430842512685985,-0.1487021401652095,-0.507883544818577,-0.4870320835406246,-0.1861878584852146,-0.2958373644566175
2024-06-11 14:00:00,0.0572327179632545,-0.0256505625292251,-0.0141219156070051,-0.1767487535388344,-0.0985884014427097,-0.1963624498796622,0.0302276141630665
2024-06-11 15:00:00,-0.0027246248874423,-0.019242240625861,-0.2229558329246359,-0.1534353585863546,0.0717102934996823,0.012283955940622,-0.0201507275094446
2024-06-11 16:00:00,0.1900007921188896,-0.0025659118610771,0.3478113153708876,0.168176359232177,0.3586749879453083,0.1301172466154424,0.1570680951182962
2024-06-11 17:00:00,-0.2112554143979883,-0.1900604142181047,-0.2661844327401602,-0.1770355861227655,-0.1349111890525038,-0.1559152971629945,-0.261917383884907
2024-06-12 09:00:00,0.7195936173871608,0.5384214222511187,0.6268457103920524,0.802992725784813,0.4522614050255465,0.7856903546621333,0.6815672211811603
2024-06-12 10:00:00,-0.1814464756926983,-0.1561000892756198,0.0432352979702124,-0.2493254840791378,-0.2986021409436792,0.0950385099315343,-0.160423552492871
2024-06-12 11:00:00,0.0319801400637199,0.0153649168035994,-0.0843261525893285,0.1320732758313552,-0.2100005686661089,-0.1645468933677081,0.0401300218074517
2024-06-12 12:00:00,0.0541802807872732,0.0614360700239979,0.0594681403457496,0.2197352343174392,0.2055370600798044,0.0182963645634153,0.0802117633445177
2024-06-12 13:00:00,0.1650687845552941,0.2198364893535886,0.0594327967657374,0.1374550562983966,0.1766028501383636,0.1182357416856947,0.2002483748171303
2024-06-12 14:00:00,0.4828151785010667,0.2550176069032644,0.5042951109581153,0.2918304202962661,0.2314300734758167,0.2226833646122483,0.4391399927084863
2024-06-12 15:00:00,0.2687176804688539,0.1781261603861292,0.2812126187737672,0.0873833124359849,-0.0489117153307036,0.0085081039741423,0.258588253018926
2024-06-12 16:00:00,-0.0542228033589187,-0.0343282162234498,-0.1716388711312839,-0.0145585837666929,0.0898013317158149,-0.1739522252608707,-0.0457015695514714
2024-06-12 17:00:00,0.0359728650359911,0.0127155282201647,0.099800942978444,-0.0349492511311816,-0.104924339621953,-0.0182642842430352,0.0397416796090015
2024-06-13 09:00:00,-0.5258453476132917,-0.3987647415480725,-0.0032178310748838,-0.5755033265940104,-0.1754159900229612,-0.2096692383780369,-0.2884856514544327
2024-06-13 10:00:00,-0.198785744248012,-0.3708871000881469,-0.2330315002594887,-0.425719961818057,-0.4824194604756358,-0.1648744579985807,-0.3552827034089048
2024-06-13 11:00:00,-0.3086840067193128,-0.2977032867265365,-0.1646303453002539,-0.0883067244080303,-0.1792661326574134,-0.0207812529398487,-0.2803253607771945
2024-06-13 12:00:00,-0.0841054351842279,-0.274104987757962,0.0053843627350382,-0.2211085806474807,-0.0717965317219467,-0.1076426368738288,-0.1203804166079221
2024-06-13 13:00:00,0.0412476329164249,0.1223462292898611,0.0323000896444112,0.1621940786120243,0.2510626643793652,0.1675298307488067,0.0682333607319951
2024-06-13 14:00:00,0.0135645823537335,0.0295981728506361,-0.0269160168073654,0.1325088533111725,-0.0716678940606955,0.0097740962093184,-0.0200638029605025
2024-06-13 15:00:00,-0.4486055912870049,-0.6881664290395947,-0.3883960907491235,-0.6791197578001733,-0.5571745964605219,-0.3242763226088311,-0.6037936469354898
2024-06-13 16:00:00,-0.3034721481054067,-0.0155480694793773,-0.1622779852842829,-0.4543302743209075,-0.3764986502814091,-0.0588494941215536,-0.2749253773385141
2024-06-13 17:00:00,-0.2161571400503585,-0.1854674504602944,0.1211924619471322,-0.0208358138627336,0.1166223061568594,0.0429145088276971,-0.1418008948229969
2024-06-14 09:00:00,-0.2852755939521642,-1.1686723465649749,0.0248695700468232,-1.2430892438160568,-0.4382635867852241,-0.006129516689525,-0.6324437190561215
2024-06-14 10:00:00,-0.2998667978305293,-0.3249468407700203,-0.1157501440890572,-0.468278801338573,-0.1634818354369156,-0.110395595388392,-0.3064729433782755
2024-06-14 11:00:00,-0.475020915861225,-0.7579150728160067,-0.3882531339027356,-0.5861645890943447,-0.5057580504515995,-0.2236175353433628,-0.6157781316450817
2024-06-14 12:00:00,-0.2522349060966462,-0.1727552222979042,-0.3483224194696986,-0.5344829778415431,-0.4165471113163881,-0.0799847456366457,-0.2680192928841449
2024-06-14 13:00:00,0.050497904855154,0.1262735518394552,0.2559175491373994,0.0306189625625788,0.4037561161595426,0.2815085297394047,0.0990446400840494
2024-06-14 14:00:00,0.0720956574186095,-0.0332144259947213,0.0489308616700863,0.0,0.136961307019721,0.1533281706592457,0.0206219583342325
2024-06-14 15:00:00,-0.0554535839997493,-0.2527908106332375,0.0738945731982644,-0.1286626917883546,-0.1095540347853108,-0.0527183686679972,-0.0618786373442565
2024-06-14 16:00:00,-0.2126721126757686,-0.2561025809545763,-0.2044301137127043,-0.1994477494543627,-0.0255798870398287,-0.0895623162036439,-0.2706529342434779
